TIME GRAPH   ORDER   SIZE    AG
0.00874	   Digraph	021	180	      bell	
0.01316	   Digraph	021	180	      bell	
0.00875	   Digraph	021	180	      bell	
0.01333	   Digraph	021	180	      bell	
0.00870	   Digraph	021	180	      bell	
0.01310	   Digraph	021	180	      bell	
0.00876	   Digraph	021	180	      bell	
0.01310	   Digraph	021	180	      bell	
0.00873	   Digraph	021	180	      bell	
0.01477	   Digraph	021	180	      bell	
0.00772	   Digraph	021	180	      bell	
0.01292	   Digraph	021	180	      bell	
0.00914	   Digraph	021	180	      bell	
0.01316	   Digraph	021	180	      bell	
0.00885	   Digraph	021	180	      bell	
0.01293	   Digraph	021	180	      bell	
0.00895	   Digraph	021	180	      bell	
0.01295	   Digraph	021	180	      bell	
0.01333	   Digraph	021	180	      bell	
0.00873	   Digraph	021	180	      bell	
0.01363	   Digraph	021	180	      bell	
0.00867	   Digraph	021	180	      bell	
0.01330	   Digraph	021	180	      bell	
0.00858	   Digraph	021	180	      bell	
0.01332	   Digraph	021	180	      bell	
0.00866	   Digraph	021	180	      bell	
0.02065	   Digraph	021	180	      bell	
0.00764	   Digraph	021	180	      bell	
0.01233	   Digraph	021	180	      bell	
0.00883	   Digraph	021	180	      bell	
0.01345	   Digraph	021	180	      bell	
0.00859	   Digraph	021	180	      bell	
0.01333	   Digraph	021	180	      bell	
0.00859	   Digraph	021	180	      bell	
0.01330	   Digraph	021	180	      bell	
0.00858	   Digraph	021	180	      bell	
0.01327	   Digraph	021	180	      bell	
0.00859	   Digraph	021	180	      bell	
0.01338	   Digraph	021	180	      bell	
0.00875	   Digraph	021	180	      bell	
0.01322	   Digraph	021	180	      bell	
0.00869	   Digraph	021	180	      bell	
0.01324	   Digraph	021	180	      bell	
0.00864	   Digraph	021	180	      bell	
0.02037	   Digraph	021	180	      bell	
0.00763	   Digraph	021	180	      bell	
0.01260	   Digraph	021	180	      bell	
0.00869	   Digraph	021	180	      bell	
0.01341	   Digraph	021	180	      bell	
0.00869	   Digraph	021	180	      bell	
0.01322	   Digraph	021	180	      bell	
0.00864	   Digraph	021	180	      bell	
0.01325	   Digraph	021	180	      bell	
0.00870	   Digraph	021	180	      bell	
0.01328	   Digraph	021	180	      bell	
0.00878	   Digraph	021	180	      bell	
0.01332	   Digraph	021	180	      bell	
0.00869	   Digraph	021	180	      bell	
0.01333	   Digraph	021	180	      bell	
0.00876	   Digraph	021	180	      bell	
0.01317	   Digraph	021	180	      bell	
0.00880	   Digraph	021	180	      bell	
0.01990	   Digraph	021	180	      bell	
0.00033	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00034	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00034	   Digraph	021	180	     fbell	
