REP AVG STDV    MIN MAX GRAPH   ORDER   SIZE    AG
100	0.03957	0.00288	0.03348	0.04868	   Digraph	062	180	      bell	
100	0.00055	0.00114	0.00042	0.01186	   Digraph	062	180	     fbell	
100	0.00164	0.00044	0.00156	0.00602	   Digraph	062	180	      dijk	
100	0.04079	0.00312	0.03429	0.04992	   Digraph	063	180	      bell	
100	0.00052	0.00046	0.00046	0.00509	   Digraph	063	180	     fbell	
100	0.00187	0.00142	0.00167	0.01528	   Digraph	063	180	      dijk	
100	0.04060	0.00272	0.03442	0.04976	   Digraph	064	180	      bell	
100	0.00051	0.00044	0.00044	0.00485	   Digraph	064	180	     fbell	
100	0.00181	0.00045	0.00169	0.00626	   Digraph	064	180	      dijk	
100	0.04159	0.00263	0.03535	0.05049	   Digraph	065	180	      bell	
100	0.00045	0.00002	0.00043	0.00053	   Digraph	065	180	     fbell	
100	0.00194	0.00156	0.00169	0.01686	   Digraph	065	180	      dijk	
100	0.04228	0.00199	0.03809	0.04560	   Digraph	066	180	      bell	
100	0.00046	0.00002	0.00044	0.00051	   Digraph	066	180	     fbell	
100	0.00200	0.00141	0.00178	0.01530	   Digraph	066	180	      dijk	
100	0.04327	0.00250	0.03674	0.05201	   Digraph	067	180	      bell	
100	0.00045	0.00044	0.00038	0.00480	   Digraph	067	180	     fbell	
100	0.00200	0.00144	0.00179	0.01555	   Digraph	067	180	      dijk	
100	0.04389	0.00219	0.03719	0.05250	   Digraph	068	180	      bell	
100	0.00057	0.00044	0.00050	0.00489	   Digraph	068	180	     fbell	
100	0.00202	0.00148	0.00177	0.01610	   Digraph	068	180	      dijk	
100	0.04456	0.00166	0.03992	0.05028	   Digraph	069	180	      bell	
100	0.00056	0.00044	0.00049	0.00492	   Digraph	069	180	     fbell	
100	0.00197	0.00046	0.00185	0.00646	   Digraph	069	180	      dijk	
100	0.04571	0.00237	0.04068	0.05378	   Digraph	070	180	      bell	
100	0.00064	0.00044	0.00057	0.00505	   Digraph	070	180	     fbell	
100	0.00198	0.00005	0.00190	0.00212	   Digraph	070	180	      dijk	
100	0.04714	0.00246	0.04029	0.05568	   Digraph	071	180	      bell	
100	0.00061	0.00106	0.00048	0.01118	   Digraph	071	180	     fbell	
100	0.00196	0.00046	0.00186	0.00652	   Digraph	071	180	      dijk	
100	0.04823	0.00206	0.04308	0.05611	   Digraph	072	180	      bell	
100	0.00048	0.00046	0.00041	0.00510	   Digraph	072	180	     fbell	
100	0.00201	0.00048	0.00188	0.00673	   Digraph	072	180	      dijk	
