0.00029	   Digraph	005	010	     floyd	
0.00029	   Digraph	005	010	     floyd	
0.00029	   Digraph	005	010	     floyd	
0.00029	   Digraph	005	010	     floyd	
0.00029	   Digraph	005	010	     floyd	
0.00032	   Digraph	005	010	     floyd	
0.00030	   Digraph	005	010	     floyd	
0.00029	   Digraph	005	010	     floyd	
0.00031	   Digraph	005	010	     floyd	
0.00033	   Digraph	005	010	     floyd	
0.00031	   Digraph	005	010	     floyd	
0.00031	   Digraph	005	010	     floyd	
0.00030	   Digraph	005	010	     floyd	
0.00030	   Digraph	005	010	     floyd	
0.00032	   Digraph	005	010	     floyd	
0.00032	   Digraph	005	010	     floyd	
0.00032	   Digraph	005	010	     floyd	
0.00032	   Digraph	005	010	     floyd	
0.00032	   Digraph	005	010	     floyd	
0.00035	   Digraph	005	010	     floyd	
0.00032	   Digraph	005	010	     floyd	
0.00032	   Digraph	005	010	     floyd	
0.00031	   Digraph	005	010	     floyd	
0.00031	   Digraph	005	010	     floyd	
0.00030	   Digraph	005	010	     floyd	
0.00030	   Digraph	005	010	     floyd	
0.00030	   Digraph	005	010	     floyd	
0.00032	   Digraph	005	010	     floyd	
0.00030	   Digraph	005	010	     floyd	
0.00030	   Digraph	005	010	     floyd	
0.00030	   Digraph	005	010	     floyd	
0.00030	   Digraph	005	010	     floyd	
0.00030	   Digraph	005	010	     floyd	
0.00031	   Digraph	005	010	     floyd	
0.00031	   Digraph	005	010	     floyd	
0.00030	   Digraph	005	010	     floyd	
0.00030	   Digraph	005	010	     floyd	
0.00030	   Digraph	005	010	     floyd	
0.00030	   Digraph	005	010	     floyd	
0.00030	   Digraph	005	010	     floyd	
0.00031	   Digraph	005	010	     floyd	
0.00032	   Digraph	005	010	     floyd	
0.00030	   Digraph	005	010	     floyd	
0.00030	   Digraph	005	010	     floyd	
0.00031	   Digraph	005	010	     floyd	
0.00036	   Digraph	005	010	     floyd	
0.00032	   Digraph	005	010	     floyd	
0.00482	   Digraph	005	010	     floyd	
0.00043	   Digraph	005	010	     floyd	
0.00039	   Digraph	005	010	     floyd	
0.00033	   Digraph	005	010	     floyd	
0.00032	   Digraph	005	010	     floyd	
0.00034	   Digraph	005	010	     floyd	
0.00037	   Digraph	005	010	     floyd	
0.00050	   Digraph	005	010	     floyd	
0.00038	   Digraph	005	010	     floyd	
0.00034	   Digraph	005	010	     floyd	
0.00034	   Digraph	005	010	     floyd	
0.00035	   Digraph	005	010	     floyd	
0.00035	   Digraph	005	010	     floyd	
0.00033	   Digraph	005	010	     floyd	
0.00036	   Digraph	005	010	     floyd	
0.00036	   Digraph	005	010	     floyd	
0.00036	   Digraph	005	010	     floyd	
0.00033	   Digraph	005	010	     floyd	
0.00034	   Digraph	005	010	     floyd	
0.00038	   Digraph	005	010	     floyd	
0.00034	   Digraph	005	010	     floyd	
0.00034	   Digraph	005	010	     floyd	
0.00035	   Digraph	005	010	     floyd	
0.00033	   Digraph	005	010	     floyd	
0.00036	   Digraph	005	010	     floyd	
0.00034	   Digraph	005	010	     floyd	
0.00034	   Digraph	005	010	     floyd	
0.00033	   Digraph	005	010	     floyd	
0.00035	   Digraph	005	010	     floyd	
0.00033	   Digraph	005	010	     floyd	
0.00037	   Digraph	005	010	     floyd	
0.00040	   Digraph	005	010	     floyd	
0.00031	   Digraph	005	010	     floyd	
0.00031	   Digraph	005	010	     floyd	
