AVG	STDV	MIN	MAX	GRAPH	V	E	DT
0.00114	0.00003	0.00108	0.00122	   Digraph	050	096	       vec	
0.00176	0.00006	0.00168	0.00203	   Digraph	050	097	      fibo	
0.00185	0.00003	0.00178	0.00191	   Digraph	050	097	       bin	
0.00131	0.00004	0.00127	0.00141	   Digraph	050	097	       vec	
0.00172	0.00004	0.00163	0.00184	   Digraph	050	098	      fibo	
0.00183	0.00041	0.00172	0.00587	   Digraph	050	098	       bin	
0.00130	0.00021	0.00124	0.00334	   Digraph	050	098	       vec	
0.00125	0.00006	0.00116	0.00162	   Digraph	050	099	      fibo	
0.00088	0.00003	0.00081	0.00096	   Digraph	050	099	       bin	
0.00115	0.00006	0.00110	0.00152	   Digraph	050	099	       vec	
0.00175	0.00004	0.00167	0.00191	   Digraph	050	100	      fibo	
0.00186	0.00035	0.00172	0.00463	   Digraph	050	100	       bin	
0.00130	0.00007	0.00125	0.00171	   Digraph	050	100	       vec	
0.00180	0.00006	0.00172	0.00216	   Digraph	050	101	      fibo	
0.00185	0.00003	0.00177	0.00190	   Digraph	050	101	       bin	
0.00131	0.00005	0.00126	0.00159	   Digraph	050	101	       vec	
0.00165	0.00005	0.00156	0.00192	   Digraph	050	102	      fibo	
0.00181	0.00003	0.00173	0.00186	   Digraph	050	102	       bin	
0.00130	0.00005	0.00125	0.00165	   Digraph	050	102	       vec	
0.00179	0.00005	0.00171	0.00197	   Digraph	050	103	      fibo	
0.00186	0.00003	0.00177	0.00194	   Digraph	050	103	       bin	
0.00130	0.00004	0.00126	0.00156	   Digraph	050	103	       vec	
0.00122	0.00021	0.00115	0.00326	   Digraph	050	104	      fibo	
0.00090	0.00009	0.00080	0.00131	   Digraph	050	104	       bin	
0.00115	0.00007	0.00108	0.00177	   Digraph	050	104	       vec	
0.00180	0.00013	0.00169	0.00254	   Digraph	050	105	      fibo	
0.00186	0.00004	0.00178	0.00197	   Digraph	050	105	       bin	
0.00132	0.00021	0.00125	0.00341	   Digraph	050	105	       vec	
0.00118	0.00005	0.00112	0.00137	   Digraph	050	106	      fibo	
0.00087	0.00003	0.00080	0.00094	   Digraph	050	106	       bin	
0.00115	0.00003	0.00109	0.00122	   Digraph	050	106	       vec	
0.00178	0.00004	0.00172	0.00198	   Digraph	050	107	      fibo	
0.00189	0.00023	0.00178	0.00405	   Digraph	050	107	       bin	
0.00131	0.00005	0.00127	0.00159	   Digraph	050	107	       vec	
0.00173	0.00023	0.00162	0.00393	   Digraph	050	108	      fibo	
0.00162	0.00003	0.00155	0.00169	   Digraph	050	108	       bin	
0.00127	0.00004	0.00122	0.00143	   Digraph	050	108	       vec	
0.00169	0.00022	0.00160	0.00379	   Digraph	050	109	      fibo	
0.00190	0.00009	0.00181	0.00257	   Digraph	050	109	       bin	
0.00130	0.00004	0.00126	0.00150	   Digraph	050	109	       vec	
0.00180	0.00004	0.00173	0.00196	   Digraph	050	110	      fibo	
0.00185	0.00004	0.00178	0.00205	   Digraph	050	110	       bin	
