TIME GRAPH   ORDER   SIZE    AG
0.00089	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00095	   Digraph	050	063	      dijk	
0.00088	   Digraph	050	063	      dijk	
0.00090	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00088	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00091	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00088	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00091	   Digraph	050	063	      dijk	
0.00088	   Digraph	050	063	      dijk	
0.00088	   Digraph	050	063	      dijk	
0.00088	   Digraph	050	063	      dijk	
0.00088	   Digraph	050	063	      dijk	
0.00092	   Digraph	050	063	      dijk	
0.00096	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00088	   Digraph	050	063	      dijk	
0.00091	   Digraph	050	063	      dijk	
0.00088	   Digraph	050	063	      dijk	
0.01212	   Digraph	050	066	      bell	
0.01673	   Digraph	050	066	      bell	
0.01556	   Digraph	050	066	      bell	
0.01219	   Digraph	050	066	      bell	
0.01243	   Digraph	050	066	      bell	
0.01202	   Digraph	050	066	      bell	
0.01391	   Digraph	050	066	      bell	
0.01508	   Digraph	050	066	      bell	
0.01281	   Digraph	050	066	      bell	
0.01232	   Digraph	050	066	      bell	
0.01678	   Digraph	050	066	      bell	
0.01226	   Digraph	050	066	      bell	
0.01203	   Digraph	050	066	      bell	
0.01213	   Digraph	050	066	      bell	
0.01206	   Digraph	050	066	      bell	
0.01245	   Digraph	050	066	      bell	
0.01247	   Digraph	050	066	      bell	
0.01219	   Digraph	050	066	      bell	
0.01683	   Digraph	050	066	      bell	
0.01203	   Digraph	050	066	      bell	
0.01192	   Digraph	050	066	      bell	
0.01208	   Digraph	050	066	      bell	
0.01207	   Digraph	050	066	      bell	
0.01202	   Digraph	050	066	      bell	
0.01214	   Digraph	050	066	      bell	
0.01210	   Digraph	050	066	      bell	
0.01228	   Digraph	050	066	      bell	
0.01680	   Digraph	050	066	      bell	
0.01199	   Digraph	050	066	      bell	
0.01198	   Digraph	050	066	      bell	
0.01221	   Digraph	050	066	      bell	
0.01203	   Digraph	050	066	      bell	
0.01211	   Digraph	050	066	      bell	
0.01217	   Digraph	050	066	      bell	
0.01216	   Digraph	050	066	      bell	
0.01709	   Digraph	050	066	      bell	
0.01197	   Digraph	050	066	      bell	
0.01190	   Digraph	050	066	      bell	
0.01210	   Digraph	050	066	      bell	
0.01205	   Digraph	050	066	      bell	
0.01196	   Digraph	050	066	      bell	
0.01214	   Digraph	050	066	      bell	
0.01210	   Digraph	050	066	      bell	
0.01230	   Digraph	050	066	      bell	
0.01674	   Digraph	050	066	      bell	
0.01195	   Digraph	050	066	      bell	
0.01199	   Digraph	050	066	      bell	
0.01209	   Digraph	050	066	      bell	
0.01202	   Digraph	050	066	      bell	
0.01202	   Digraph	050	066	      bell	
0.01208	   Digraph	050	066	      bell	
0.01223	   Digraph	050	066	      bell	
0.01684	   Digraph	050	066	      bell	
0.01223	   Digraph	050	066	      bell	
0.01192	   Digraph	050	066	      bell	
0.01208	   Digraph	050	066	      bell	
0.01209	   Digraph	050	066	      bell	
0.01196	   Digraph	050	066	      bell	
0.01211	   Digraph	050	066	      bell	
0.01205	   Digraph	050	066	      bell	
0.01249	   Digraph	050	066	      bell	
0.01662	   Digraph	050	066	      bell	
0.01198	   Digraph	050	066	      bell	
0.01213	   Digraph	050	066	      bell	
0.01208	   Digraph	050	066	      bell	
0.01206	   Digraph	050	066	      bell	
0.01202	   Digraph	050	066	      bell	
0.01202	   Digraph	050	066	      bell	
0.01213	   Digraph	050	066	      bell	
0.01688	   Digraph	050	066	      bell	
0.01194	   Digraph	050	066	      bell	
0.01191	   Digraph	050	066	      bell	
0.01208	   Digraph	050	066	      bell	
0.01202	   Digraph	050	066	      bell	
0.01194	   Digraph	050	066	      bell	
0.01207	   Digraph	050	066	      bell	
