TIME GRAPH   ORDER   SIZE    AG
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00012	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00012	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00011	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00010	   Digraph	005	010	      dijk	
0.00010	   Digraph	005	010	      dijk	
0.00010	   Digraph	005	010	      dijk	
0.00012	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00010	   Digraph	005	010	      dijk	
0.00013	   Digraph	005	010	      dijk	
0.00010	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00011	   Digraph	005	010	      dijk	
0.00010	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00010	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00010	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00011	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00011	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00011	   Digraph	005	010	      dijk	
0.00010	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00010	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00011	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00011	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00010	   Digraph	005	010	      dijk	
0.00010	   Digraph	005	010	      dijk	
0.00010	   Digraph	005	010	      dijk	
0.00010	   Digraph	005	010	      dijk	
0.00011	   Digraph	005	010	      dijk	
0.00010	   Digraph	005	010	      dijk	
0.00010	   Digraph	005	010	      dijk	
0.00011	   Digraph	005	010	      dijk	
0.00010	   Digraph	005	010	      dijk	
0.00010	   Digraph	005	010	      dijk	
0.00011	   Digraph	005	010	      dijk	
0.00010	   Digraph	005	010	      dijk	
0.00010	   Digraph	005	010	      dijk	
0.00011	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00010	   Digraph	005	010	      dijk	
0.00010	   Digraph	005	010	      dijk	
0.00010	   Digraph	005	010	      dijk	
0.00009	   Digraph	005	010	      dijk	
0.00012	   Digraph	005	010	      dijk	
0.00033	   Digraph	005	010	      dijk	
0.00024	   Digraph	005	011	      bell	
0.00022	   Digraph	005	011	      bell	
0.00020	   Digraph	005	011	      bell	
0.00021	   Digraph	005	011	      bell	
0.00023	   Digraph	005	011	      bell	
0.00058	   Digraph	005	011	      bell	
0.00021	   Digraph	005	011	      bell	
0.00022	   Digraph	005	011	      bell	
0.00023	   Digraph	005	011	      bell	
0.00023	   Digraph	005	011	      bell	
0.00020	   Digraph	005	011	      bell	
0.00021	   Digraph	005	011	      bell	
0.00023	   Digraph	005	011	      bell	
0.00021	   Digraph	005	011	      bell	
0.00020	   Digraph	005	011	      bell	
0.00021	   Digraph	005	011	      bell	
0.00991	   Digraph	005	011	      bell	
0.00019	   Digraph	005	011	      bell	
0.00019	   Digraph	005	011	      bell	
0.00019	   Digraph	005	011	      bell	
0.00019	   Digraph	005	011	      bell	
0.00019	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00019	   Digraph	005	011	      bell	
0.00022	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00019	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00019	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00019	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00020	   Digraph	005	011	      bell	
0.00019	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00017	   Digraph	005	011	      bell	
0.00020	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00021	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00017	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00017	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00017	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00020	   Digraph	005	011	      bell	
0.00022	   Digraph	005	011	      bell	
0.00023	   Digraph	005	011	      bell	
0.00019	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00018	   Digraph	005	011	      bell	
0.00005	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00024	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
