AVG	STDV	MIN	MAX	GRAPH	V	E	DT
0.00338	0.00124	0.00306	0.01225	   Digraph	086	180	      fibo	
0.00330	0.00094	0.00308	0.01217	   Digraph	086	180	       bin	
0.00312	0.00022	0.00307	0.00527	   Digraph	086	180	       vec	
0.00336	0.00113	0.00302	0.01153	   Digraph	087	180	      fibo	
0.00338	0.00088	0.00316	0.01165	   Digraph	087	180	       bin	
0.00319	0.00022	0.00314	0.00534	   Digraph	087	180	       vec	
0.00230	0.00085	0.00204	0.01012	   Digraph	088	180	      fibo	
0.00152	0.00021	0.00143	0.00352	   Digraph	088	180	       bin	
0.00295	0.00022	0.00288	0.00505	   Digraph	088	180	       vec	
0.00351	0.00112	0.00318	0.01157	   Digraph	089	180	      fibo	
0.00344	0.00087	0.00321	0.01151	   Digraph	089	180	       bin	
0.00330	0.00022	0.00324	0.00541	   Digraph	089	180	       vec	
0.00344	0.00109	0.00311	0.01140	   Digraph	090	180	      fibo	
0.00367	0.00086	0.00345	0.01166	   Digraph	090	180	       bin	
0.00338	0.00022	0.00332	0.00550	   Digraph	090	180	       vec	
0.00351	0.00113	0.00320	0.01120	   Digraph	091	180	      fibo	
0.00327	0.00089	0.00306	0.01158	   Digraph	091	180	       bin	
0.00342	0.00022	0.00334	0.00558	   Digraph	091	180	       vec	
0.00345	0.00115	0.00314	0.01169	   Digraph	092	180	      fibo	
0.00362	0.00084	0.00342	0.01143	   Digraph	092	180	       bin	
0.00354	0.00021	0.00346	0.00557	   Digraph	092	180	       vec	
0.00337	0.00036	0.00319	0.00556	   Digraph	093	180	      fibo	
0.00362	0.00084	0.00341	0.01153	   Digraph	093	180	       bin	
0.00365	0.00093	0.00350	0.01289	   Digraph	093	180	       vec	
0.00365	0.00087	0.00337	0.01152	   Digraph	094	180	      fibo	
0.00362	0.00084	0.00340	0.01154	   Digraph	094	180	       bin	
0.00364	0.00021	0.00355	0.00564	   Digraph	094	180	       vec	
0.00236	0.00091	0.00211	0.01092	   Digraph	095	180	      fibo	
0.00171	0.00086	0.00153	0.01001	   Digraph	095	180	       bin	
0.00347	0.00090	0.00327	0.01215	   Digraph	095	180	       vec	
0.00249	0.00088	0.00224	0.01075	   Digraph	096	180	      fibo	
0.00176	0.00096	0.00153	0.01086	   Digraph	096	180	       bin	
0.00343	0.00021	0.00334	0.00542	   Digraph	096	180	       vec	
0.00246	0.00035	0.00228	0.00461	   Digraph	097	180	      fibo	
0.00173	0.00086	0.00155	0.01003	   Digraph	097	180	       bin	
0.00352	0.00090	0.00333	0.01224	   Digraph	097	180	       vec	
0.00365	0.00091	0.00337	0.01212	   Digraph	098	180	      fibo	
0.00384	0.00090	0.00359	0.01235	   Digraph	098	180	       bin	
0.00387	0.00022	0.00379	0.00595	   Digraph	098	180	       vec	
0.00252	0.00077	0.00225	0.00929	   Digraph	099	180	      fibo	
0.00173	0.00084	0.00155	0.00984	   Digraph	099	180	       bin	
0.00363	0.00092	0.00344	0.01252	   Digraph	099	180	       vec	
0.00362	0.00087	0.00334	0.01149	   Digraph	100	180	      fibo	
0.00352	0.00105	0.00328	0.01376	   Digraph	100	180	       bin	
0.00392	0.00021	0.00384	0.00593	   Digraph	100	180	       vec	
0.00255	0.00081	0.00231	0.01005	   Digraph	101	180	      fibo	
0.00178	0.00084	0.00160	0.00983	   Digraph	101	180	       bin	
0.00375	0.00089	0.00356	0.01230	   Digraph	101	180	       vec	
0.00384	0.00093	0.00356	0.01238	   Digraph	102	180	      fibo	
0.00379	0.00088	0.00358	0.01212	   Digraph	102	180	       bin	
0.00411	0.00020	0.00400	0.00607	   Digraph	102	180	       vec	
0.00383	0.00034	0.00362	0.00584	   Digraph	103	180	      fibo	
0.00390	0.00034	0.00375	0.00590	   Digraph	103	180	       bin	
0.00424	0.00020	0.00415	0.00622	   Digraph	103	180	       vec	
0.00378	0.00077	0.00350	0.01042	   Digraph	104	180	      fibo	
0.00368	0.00091	0.00347	0.01228	   Digraph	104	180	       bin	
0.00425	0.00021	0.00415	0.00630	   Digraph	104	180	       vec	
0.00397	0.00083	0.00368	0.01144	   Digraph	105	180	      fibo	
0.00390	0.00085	0.00369	0.01186	   Digraph	105	180	       bin	
0.00434	0.00020	0.00424	0.00622	   Digraph	105	180	       vec	
0.00266	0.00083	0.00240	0.01005	   Digraph	106	180	      fibo	
0.00185	0.00092	0.00165	0.01070	   Digraph	106	180	       bin	
0.00405	0.00028	0.00393	0.00601	   Digraph	106	180	       vec	
0.00364	0.00036	0.00343	0.00581	   Digraph	107	180	      fibo	
0.00340	0.00032	0.00322	0.00522	   Digraph	107	180	       bin	
0.00447	0.00095	0.00430	0.01363	   Digraph	107	180	       vec	
0.00273	0.00098	0.00243	0.01149	   Digraph	108	180	      fibo	
0.00194	0.00027	0.00179	0.00383	   Digraph	108	180	       bin	
0.00414	0.00022	0.00406	0.00625	   Digraph	108	180	       vec	
0.00384	0.00035	0.00364	0.00597	   Digraph	109	180	      fibo	
0.00376	0.00087	0.00356	0.01211	   Digraph	109	180	       bin	
0.00458	0.00022	0.00447	0.00662	   Digraph	109	180	       vec	
0.00370	0.00077	0.00342	0.01053	   Digraph	110	180	      fibo	
0.00337	0.00081	0.00317	0.01117	   Digraph	110	180	       bin	
0.00473	0.00114	0.00451	0.01590	   Digraph	110	180	       vec	
0.00380	0.00093	0.00347	0.01213	   Digraph	111	180	      fibo	
0.00341	0.00030	0.00326	0.00542	   Digraph	111	180	       bin	
0.00472	0.00029	0.00458	0.00677	   Digraph	111	180	       vec	
0.00414	0.00086	0.00384	0.01171	   Digraph	112	180	      fibo	
0.00405	0.00034	0.00385	0.00591	   Digraph	112	180	       bin	
0.00483	0.00020	0.00473	0.00680	   Digraph	112	180	       vec	
0.00285	0.00038	0.00263	0.00547	   Digraph	113	180	      fibo	
0.00197	0.00032	0.00181	0.00388	   Digraph	113	180	       bin	
0.00461	0.00100	0.00437	0.01426	   Digraph	113	180	       vec	
0.00426	0.00044	0.00396	0.00647	   Digraph	114	180	      fibo	
0.00395	0.00037	0.00376	0.00609	   Digraph	114	180	       bin	
0.00508	0.00123	0.00483	0.01704	   Digraph	114	180	       vec	
0.00292	0.00096	0.00259	0.01161	   Digraph	115	180	      fibo	
0.00190	0.00029	0.00177	0.00390	   Digraph	115	180	       bin	
0.00468	0.00027	0.00455	0.00656	   Digraph	115	180	       vec	
0.00287	0.00094	0.00255	0.01129	   Digraph	116	180	      fibo	
0.00220	0.00099	0.00195	0.01174	   Digraph	116	180	       bin	
0.00473	0.00023	0.00462	0.00688	   Digraph	116	180	       vec	
0.00399	0.00038	0.00376	0.00596	   Digraph	117	180	      fibo	
0.00364	0.00091	0.00340	0.01222	   Digraph	117	180	       bin	
0.00522	0.00108	0.00500	0.01579	   Digraph	117	180	       vec	
0.00424	0.00094	0.00386	0.01256	   Digraph	118	180	      fibo	
0.00412	0.00036	0.00391	0.00615	   Digraph	118	180	       bin	
0.00531	0.00021	0.00520	0.00726	   Digraph	118	180	       vec	
0.00363	0.00040	0.00339	0.00564	   Digraph	119	180	      fibo	
0.00319	0.00092	0.00294	0.01182	   Digraph	119	180	       bin	
0.00527	0.00100	0.00507	0.01494	   Digraph	119	180	       vec	
0.00299	0.00092	0.00267	0.01139	   Digraph	120	180	      fibo	
0.00204	0.00034	0.00185	0.00404	   Digraph	120	180	       bin	
0.00507	0.00030	0.00492	0.00720	   Digraph	120	180	       vec	
0.00419	0.00041	0.00396	0.00630	   Digraph	121	180	      fibo	
0.00404	0.00089	0.00376	0.01218	   Digraph	121	180	       bin	
