REP AVG STDV    MIN MAX GRAPH   ORDER   SIZE    AG
100	0.00065	0.00002	0.00064	0.00072	   Digraph	050	399	     fbell	
100	0.00154	0.00003	0.00151	0.00162	   Digraph	050	399	      dijk	
100	0.04929	0.00260	0.04595	0.05675	   Digraph	050	402	      bell	
100	0.00072	0.00002	0.00071	0.00079	   Digraph	050	402	     fbell	
100	0.00156	0.00003	0.00153	0.00169	   Digraph	050	402	      dijk	
100	0.04966	0.00292	0.04614	0.06420	   Digraph	050	405	      bell	
100	0.00085	0.00006	0.00082	0.00127	   Digraph	050	405	     fbell	
100	0.00163	0.00004	0.00160	0.00193	   Digraph	050	405	      dijk	
100	0.04993	0.00368	0.04169	0.07181	   Digraph	050	408	      bell	
100	0.00080	0.00003	0.00077	0.00092	   Digraph	050	408	     fbell	
100	0.00161	0.00004	0.00158	0.00177	   Digraph	050	408	      dijk	
100	0.05043	0.00278	0.04686	0.05686	   Digraph	050	411	      bell	
100	0.00089	0.00047	0.00082	0.00554	   Digraph	050	411	     fbell	
100	0.00161	0.00003	0.00158	0.00174	   Digraph	050	411	      dijk	
100	0.05090	0.00285	0.04654	0.06288	   Digraph	050	414	      bell	
100	0.00092	0.00003	0.00090	0.00108	   Digraph	050	414	     fbell	
100	0.00160	0.00003	0.00158	0.00170	   Digraph	050	414	      dijk	
100	0.05048	0.00260	0.04709	0.05763	   Digraph	050	417	      bell	
100	0.00098	0.00044	0.00091	0.00533	   Digraph	050	417	     fbell	
100	0.00162	0.00004	0.00159	0.00181	   Digraph	050	417	      dijk	
100	0.05112	0.00310	0.04704	0.06550	   Digraph	050	420	      bell	
100	0.00087	0.00002	0.00085	0.00096	   Digraph	050	420	     fbell	
100	0.00164	0.00003	0.00161	0.00176	   Digraph	050	420	      dijk	
100	0.05117	0.00268	0.04763	0.05898	   Digraph	050	423	      bell	
100	0.00089	0.00003	0.00087	0.00100	   Digraph	050	423	     fbell	
100	0.00161	0.00003	0.00159	0.00171	   Digraph	050	423	      dijk	
100	0.05188	0.00259	0.04838	0.05934	   Digraph	050	426	      bell	
100	0.00094	0.00002	0.00092	0.00101	   Digraph	050	426	     fbell	
